timestep,neighbor,flow_mw,direction,cost_eur
2024-01-11 02:00:00,PL,-600.0,export,-63798.0
2024-01-11 02:00:00,LT,-700.0,export,-72037.0
2024-01-11 02:00:00,DE,-615.0,export,-60386.85
2024-01-11 03:00:00,NO1,-2145.0,export,-203860.8
2024-01-11 03:00:00,NO3,1000.0,import,54890.0
2024-01-11 03:00:00,NO4,600.0,import,9720.0
2024-01-11 03:00:00,FI,-1437.84,export,-118981.26
2024-01-11 03:00:00,DK1,-740.0,export,-72283.2
2024-01-11 03:00:00,DK2,-1700.0,export,-166277.0
2024-01-11 03:00:00,PL,-600.0,export,-63798.0
2024-01-11 03:00:00,LT,-700.0,export,-72037.0
2024-01-11 03:00:00,DE,-615.0,export,-60386.85
2024-01-11 04:00:00,NO1,-2076.04,export,-197306.84
2024-01-11 04:00:00,NO3,1000.0,import,54890.0
2024-01-11 04:00:00,NO4,600.0,import,9720.0
2024-01-11 04:00:00,FI,-970.44,export,-80303.91
2024-01-11 04:00:00,DK1,-740.0,export,-72283.2
2024-01-11 04:00:00,DK2,-1700.0,export,-166277.0
2024-01-11 04:00:00,PL,-600.0,export,-63798.0
2024-01-11 04:00:00,LT,-700.0,export,-72037.0
2024-01-11 04:00:00,DE,-615.0,export,-60386.85
2024-01-11 05:00:00,NO1,-937.58,export,-89107.6
2024-01-11 05:00:00,NO3,861.02,import,47261.39
2024-01-11 05:00:00,NO4,600.0,import,9720.0
2024-01-11 05:00:00,FI,-1500.0,export,-124125.0
2024-01-11 05:00:00,DK1,-740.0,export,-72283.2
2024-01-11 05:00:00,DK2,-1700.0,export,-166277.0
2024-01-11 05:00:00,PL,-600.0,export,-63798.0
2024-01-11 05:00:00,LT,-700.0,export,-72037.0
2024-01-11 05:00:00,DE,-615.0,export,-60386.85
2024-01-11 06:00:00,NO1,321.94,import,30597.18
2024-01-11 06:00:00,NO3,-455.44,export,-24999.1
2024-01-11 06:00:00,NO4,600.0,import,9720.0
