timestep,plant,generation_mw
t0024,SE4_chp_industry,332.0
t0024,SE4_gasturbine,0.0
t0024,SE4_condensing,0.0
t0024,SE4_solar,0.56
t0025,SE1_hydro,1345.05
t0025,SE1_wind,2222.21
t0025,SE1_chp_district,0.0
t0025,SE1_chp_industry,0.0
t0025,SE1_gasturbine,0.0
t0025,SE1_solar,0.0
t0025,SE2_hydro,5300.27
t0025,SE2_wind,3254.58
t0025,SE2_chp_district,0.0
t0025,SE2_chp_industry,0.0
t0025,SE2_gasturbine,0.0
t0025,SE2_solar,0.0
t0025,SE3_hydro,893.98
t0025,SE3_nuclear,5802.11
t0025,SE3_wind,2237.22
t0025,SE3_chp_district,0.0
t0025,SE3_chp_industry,0.0
t0025,SE3_gasturbine,0.0
t0025,SE3_solar,0.19
t0025,SE4_hydro,80.68
t0025,SE4_wind,803.77
t0025,SE4_chp_district,0.0
t0025,SE4_chp_industry,168.39
t0025,SE4_gasturbine,0.0
t0025,SE4_condensing,0.0
t0025,SE4_solar,0.56
t0026,SE1_hydro,1370.71
t0026,SE1_wind,2281.46
t0026,SE1_chp_district,0.0
t0026,SE1_chp_industry,0.0
t0026,SE1_gasturbine,0.0
t0026,SE1_solar,0.0
t0026,SE2_hydro,4871.92
t0026,SE2_wind,3354.73
t0026,SE2_chp_district,0.0
t0026,SE2_chp_industry,0.0
t0026,SE2_gasturbine,0.0
t0026,SE2_solar,0.0
t0026,SE3_hydro,893.46
t0026,SE3_nuclear,5802.11
t0026,SE3_wind,2184.56
t0026,SE3_chp_district,0.0
t0026,SE3_chp_industry,0.0
t0026,SE3_gasturbine,0.0
t0026,SE3_solar,0.19
t0026,SE4_hydro,80.82
t0026,SE4_wind,735.26
t0026,SE4_chp_district,0.0
t0026,SE4_chp_industry,299.31
t0026,SE4_gasturbine,0.0
t0026,SE4_condensing,0.0
t0026,SE4_solar,0.56
t0027,SE1_hydro,1370.71
t0027,SE1_wind,2347.36
t0027,SE1_chp_district,0.0
t0027,SE1_chp_industry,0.0
t0027,SE1_gasturbine,0.0
t0027,SE1_solar,0.0
t0027,SE2_hydro,4854.04
t0027,SE2_wind,3502.54
t0027,SE2_chp_district,0.0
t0027,SE2_chp_industry,0.0
t0027,SE2_gasturbine,0.0
t0027,SE2_solar,0.0
t0027,SE3_hydro,885.93
t0027,SE3_nuclear,5802.8
t0027,SE3_wind,2249.32
t0027,SE3_chp_district,0.0
t0027,SE3_chp_industry,0.0
t0027,SE3_gasturbine,0.0
t0027,SE3_solar,0.19
t0027,SE4_hydro,80.92
t0027,SE4_wind,655.12
t0027,SE4_chp_district,0.0
t0027,SE4_chp_industry,317.82
t0027,SE4_gasturbine,0.0
