timestep,line,flow_mw,capacity_mw,utilization_pct
2024-07-16 23:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-16 23:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-16 23:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-16 23:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-16 23:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-17 00:00:00,L_SE1_SE2,2507.75,3300.0,75.99
2024-07-17 00:00:00,L_SE2_SE3,6574.61,7300.0,90.06
2024-07-17 00:00:00,L_SE3_SE4,4805.99,5300.0,90.68
2024-07-17 00:00:00,L_NO1_SE3,-1625.99,2145.0,75.8
2024-07-17 00:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-17 00:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-17 00:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-17 00:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-17 00:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-17 00:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-17 00:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-17 00:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-17 01:00:00,L_SE1_SE2,2326.59,3300.0,70.5
2024-07-17 01:00:00,L_SE2_SE3,6303.15,7300.0,86.34
2024-07-17 01:00:00,L_SE3_SE4,4767.73,5300.0,89.96
2024-07-17 01:00:00,L_NO1_SE3,-1545.86,2145.0,72.07
2024-07-17 01:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-17 01:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-17 01:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-17 01:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-17 01:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-17 01:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-17 01:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-17 01:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-17 02:00:00,L_SE1_SE2,2238.78,3300.0,67.84
2024-07-17 02:00:00,L_SE2_SE3,6102.29,7300.0,83.59
2024-07-17 02:00:00,L_SE3_SE4,4683.85,5300.0,88.37
2024-07-17 02:00:00,L_NO1_SE3,-1629.21,2145.0,75.95
2024-07-17 02:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-17 02:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-17 02:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-17 02:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-17 02:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-17 02:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-17 02:00:00,L_LT_SE4,-700.0,700.0,100.0
2024-07-17 02:00:00,L_DE_SE4,-615.0,615.0,100.0
2024-07-17 03:00:00,L_SE1_SE2,2245.12,3300.0,68.03
2024-07-17 03:00:00,L_SE2_SE3,6168.94,7300.0,84.51
2024-07-17 03:00:00,L_SE3_SE4,4559.91,5300.0,86.04
2024-07-17 03:00:00,L_NO1_SE3,-1919.91,2145.0,89.51
2024-07-17 03:00:00,L_NO3_SE2,1000.0,1000.0,100.0
2024-07-17 03:00:00,L_NO4_SE1,600.0,600.0,100.0
2024-07-17 03:00:00,L_FI_SE1,1500.0,1500.0,100.0
2024-07-17 03:00:00,L_DK1_SE3,-740.0,740.0,100.0
2024-07-17 03:00:00,L_DK2_SE4,-1700.0,1700.0,100.0
2024-07-17 03:00:00,L_PL_SE4,-600.0,600.0,100.0
2024-07-17 03:00:00,L_LT_SE4,-700.0,700.0,100.0
