timestep,SE1_chp,SE1_gasturbine,SE1_hydro,SE1_solar,SE1_wind,SE2_chp,SE2_gasturbine,SE2_hydro,SE2_solar,SE2_wind,SE3_chp,SE3_gasturbine,SE3_hydro,SE3_nuclear,SE3_solar,SE3_wind,SE4_chp,SE4_condensing,SE4_gasturbine,SE4_hydro,SE4_solar,SE4_wind,SE1_chp_district,SE1_chp_industry,SE2_chp_district,SE2_chp_industry,SE3_chp_district,SE3_chp_industry,SE4_chp_district,SE4_chp_industry
2024-07-16 02:00:00,0.01669172932330827,0.0,0.318675645342312,0.006206896551724138,0.009507112140258022,0.14377135348226017,0.0,0.4700135334645669,0.001176470588235294,0.04098885188938758,0.06687648456057008,0.00011061946902654868,0.5138073217726397,0.6789678535389938,0.0006172839506172839,0.049620610099974365,0.09417142857142857,0.0,0.0,0.5934005763688761,0.0002770378263185935,0.032065262288310616,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 03:00:00,0.017067669172932332,0.0,0.38178264122708566,0.014482758620689654,0.00834270592127026,0.1452168199737188,0.0,0.4976328740157481,0.007156862745098039,0.03549008252497466,0.07042755344418053,0.00011061946902654868,0.5111791907514451,0.6791120080726539,0.008282340311325818,0.03710074339912842,0.09475428571428571,0.0,0.0,0.5926801152737752,0.0025839104954714968,0.03469640644361834,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 04:00:00,0.01819548872180451,0.0,0.4872334455667789,0.027586206896551727,0.007998676811114786,0.14653088042049936,0.0,0.5231077755905511,0.025588235294117644,0.02789344143622412,0.07858669833729216,0.00011061946902654868,0.5742504816955685,0.6791120080726539,0.0398443370907139,0.02743399128428608,0.10089142857142858,0.0,0.0,0.5918443804034582,0.018961108151305275,0.03834365964477489,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 05:00:00,0.01969924812030075,0.0,0.5275364758698092,0.05172413793103448,0.007621567978828977,0.05178712220762154,0.0,0.5272896161417323,0.05583333333333334,0.02106124221803967,0.09351939825811559,0.00022123893805309737,0.5856300578034682,0.6791120080726539,0.09427267847557702,0.019156626506024097,0.10635428571428572,0.0,0.0,0.5909221902017291,0.046137453383058066,0.04214374225526642,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 06:00:00,0.022330827067669173,0.0,0.5286344930789375,0.09551724137931035,0.00874958650347337,0.03509855453350854,0.0,0.5308784448818897,0.10004901960784314,0.0207195598668018,0.11351543942992874,0.000331858407079646,0.5911830443159922,0.6792561626063139,0.16450885668276974,0.01589079723147911,0.10998857142857142,0.0,0.00015748031496062994,0.5919884726224783,0.07361214704315397,0.0495539033457249,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 07:00:00,0.024962406015037592,0.0,0.5247998503554059,0.12655172413793103,0.008607343698312933,0.03483574244415243,0.0,0.522044783464567,0.15004901960784314,0.020254813956855366,0.13168250197941408,0.00044247787610619474,0.6057495183044316,0.6794003171399741,0.24925389157273217,0.013083824660343501,0.11442285714285715,0.0,0.00015748031496062994,0.5879250720461094,0.09814064997336175,0.05592317224287484,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 08:00:00,0.026842105263157893,0.0,0.3807669285447063,0.16551724137931034,0.009870989083691696,0.03509855453350854,0.0,0.47878813976377954,0.19549019607843138,0.024840017373678875,0.14333333333333334,0.0007743362831858407,0.6392755298651253,0.6791120080726539,0.30924852388620505,0.013816970007690336,0.1101142857142857,0.0,0.00015748031496062994,0.5780403458213257,0.11213638785295683,0.05944650970673275,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 09:00:00,0.03097744360902256,0.0,0.21453236064347178,0.2093103448275862,0.011359576579556732,0.039172141918528254,0.0,0.3852386811023622,0.22936274509803922,0.027485159982626323,0.15138163103721297,0.00044247787610619474,0.6229633911368015,0.6786795444716737,0.3486902844873859,0.01849782107152012,0.11628571428571428,0.0,0.00015748031496062994,0.5030547550432277,0.10281299946723495,0.0839116067740603,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 10:00:00,0.03360902255639098,0.0,0.11151141040029929,0.22793103448275864,0.013155805491233874,0.03994743758212878,0.0,0.34621555118110237,0.24661764705882355,0.031764876212538005,0.153756927949327,0.00044247787610619474,0.5083275529865124,0.6785353899380135,0.36683843263553406,0.021884132273775957,0.11448,0.0,0.00015748031496062994,0.3915273775216139,0.09121470431539691,0.09510945890128046,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
2024-07-16 11:00:00,0.03511278195488722,0.0,0.09505424616535728,0.23379310344827586,0.013063182269268938,0.040223390275952696,0.0,0.3473843503937008,0.244656862745098,0.0348718691182858,0.1475494853523357,0.00044247787610619474,0.5079267822736031,0.6788236990053337,0.3662211486849168,0.026498333760574214,0.11470857142857144,0.0,0.00015748031496062994,0.3660806916426513,0.085167820990943,0.10140437835605122,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
